Date,Time,Open,High,Low,Adj Close,Volumne
2021.12.01,19:10,57205.47,57219.84,56982.89,57047.21,383
2021.12.01,19:15,57043.5,57121.17,56972.67,57086.93,356
2021.12.01,19:20,57080.84,57337.3,57019.8,57337.3,361
2021.12.01,19:25,57340.25,57521.64,57334.08,57521.64,373
2021.12.01,19:30,57525.57,57603.93,57404.91,57532.03,351
2021.12.01,19:35,57530.35,57702.8,57508,57590.62,404
2021.12.01,19:40,57598.76,57609.47,57461.7,57541.84,379
2021.12.01,19:45,57528.01,57665.08,57479.78,57644.27,344
2021.12.01,19:50,57642.47,57699.79,57404.26,57414.1,358
2021.12.01,19:55,57412.36,57459.03,57400.31,57433.23,320
2021.12.01,20:00,57432.43,57453.18,57127.56,57172.92,353
2021.12.01,20:05,57157.25,57227.93,57046.33,57094.17,368
2021.12.01,20:10,57097.62,57324.91,57097.62,57291.65,362
2021.12.01,20:15,57290.11,57291.66,57114.08,57149.73,341
2021.12.01,20:20,57150.73,57171.36,56914.38,56966.12,378
2021.12.01,20:25,56967.15,57004.94,56676.18,56920.09,459
2021.12.01,20:30,56919.99,57125.56,56799.52,56927.17,440
2021.12.01,20:35,56920.38,57096.25,56847.01,57063.13,390
2021.12.01,20:40,57066.7,57261.14,57007.19,57213.6,375
2021.12.01,20:45,57212.37,57226.17,56868,56897.1,375
2021.12.01,20:50,56898.55,56978.12,56787.92,56807.54,416
2021.12.01,20:55,56805.68,56833.91,56567.95,56741.91,448
2021.12.01,21:00,56754.05,56762.25,56510.02,56603.15,436
2021.12.01,21:05,56596.09,56897.51,56368.5,56897.51,461
2021.12.01,21:10,56899.6,56982.18,56572.06,56929.81,441
2021.12.01,21:15,56930.43,56983.71,56743.04,56863.52,369
2021.12.01,21:20,56857.97,56927.76,56747.36,56804.61,351
2021.12.01,21:25,56804.97,56805.15,56460.7,56520.53,393
2021.12.01,21:30,56521.65,56680.93,56473.62,56598.02,402
2021.12.01,21:35,56603.85,56710.82,56561.74,56561.74,348
2021.12.01,21:40,56567.56,56798.31,56533.56,56749.73,379
2021.12.01,21:45,56750.09,56835.15,56635.08,56668.15,356
2021.12.01,21:50,56670.49,56915.24,56670.49,56901.85,349
2021.12.01,21:55,56902.14,57047.99,56893.51,57005.42,341
2021.12.01,22:00,57002.77,57184.55,56966.99,57182.48,344
2021.12.01,22:05,57182.13,57182.13,57055.26,57173.35,350
2021.12.01,22:10,57166.1,57176.35,56797.1,56836.6,382
2021.12.01,22:15,56839.69,56845.19,56585.03,56592.89,346
2021.12.01,22:20,56592.6,56828.66,56592.6,56730.07,350
2021.12.01,22:25,56731.4,56903.31,56671.33,56903.26,314
2021.12.01,22:30,56903.35,56916.97,56657.02,56733.2,321
2021.12.01,22:35,56729.56,57009.65,56729.56,57009.65,322
2021.12.01,22:40,57014.71,57078.54,56871.62,56877.14,331
2021.12.01,22:45,56861.46,57098.74,56861.46,57004.25,340
2021.12.01,22:50,57008.86,57130.21,57005.8,57113.28,344
